LIME MSE 1,SHAP MSE 1,Symbolic MSE 1,LIME MSE 2,SHAP MSE 2,Symbolic MSE 2,,,,AVG,STD
0.7119800817,0.7431571919,6.79912731279404E-06,0.382733091,0.4172785282,6.79912725436159E-06,,,LIME,0.6616659204,0.0755143244
0.7615631137,0.7589260344,0.3172038223,0.4392701783,0.4357995046,0.0781839018,,,SHAP,0.6616942193,0.0737809834
0.7004780787,0.6874516191,0.0427173381,0.3840567432,0.3690499071,0.0059941244,,,Symbolic,0.0233337812,0.054139687
0.6743292498,0.6723343177,0.0458729102,0.3491426504,0.3476033026,0.0458729102,,,,,
0.6440235393,0.6289464101,6.78347304314118E-05,0.3148387234,0.3009325327,6.7834730406141E-05,,,,,
0.6805936901,0.6611089488,1.8343707620438E-06,0.3518000196,0.333901252,1.83437074482174E-06,,,,,
0.7286383021,0.7018536979,0.000001604,0.3996496749,0.371967945,0.000001604,,,,,
0.6663819855,0.6249303301,7.83313686273686E-10,0.3397186272,0.3041358736,7.83313685245951E-10,,,,,
0.7073806494,0.7235175696,1.54973936421951E-05,0.3753496991,0.3928316446,1.54973935872272E-05,,,,,
0.7129391871,0.7264387708,2.40780067895723E-08,0.3969201935,0.411792405,2.40779722014462E-08,,,,,
0.693095834,0.7016222816,9.54617535029001E-07,0.3693336874,0.379346385,9.54617532932422E-07,,,,,
0.6031642912,0.5830840668,1.16582925927124E-06,0.2774966286,0.2596742808,1.16582925596024E-06,,,,,
0.5732707047,0.5861947735,2.67169459243538E-05,0.2473241202,0.2588243326,2.67169458675576E-05,,,,,
0.7296637148,0.7114747185,0.000003226,0.4146743863,0.3932011683,0.000003226,,,,,
0.6551762421,0.6321845835,9.48472221232848E-06,0.3237894029,0.3017533779,9.48472216741842E-06,,,,,
0.6376619419,0.6076681706,2.21393420746081E-05,0.3146156182,0.2857439345,2.21393419958232E-05,,,,,
0.5459767856,0.5396123768,1.92113549756458E-05,0.2257954402,0.222185925,1.92113549679459E-05,,,,,
0.7377845968,0.7601397496,0.0444444692,0.4190776828,0.4443230508,0.0014815062,,,,,
0.779239514,0.8014362706,2.23234666065092E-05,0.4569131706,0.48370251,2.23234665614247E-05,,,,,
0.5856535731,0.5989170534,3.746445846938E-05,0.260630504,0.2737229881,3.74644583734374E-05,,,,,
0.6867932661,0.6857588992,2.93022054324339E-10,0.3545991179,0.3536965093,2.93022053673694E-10,,,,,
0.6899059186,0.7050659689,3.06277817372319E-06,0.363668535,0.3823022208,3.06277814187888E-06,,,,,
0.6245173084,0.6390611419,0.0005582222,0.3049812214,0.3179371807,0.000045166,,,,,
0.7256622798,0.7434330896,0.10074297,0.4007036163,0.4181148633,0.0188878286,,,,,
0.784046418,0.7775287334,0.0003529385,0.4682684019,0.4568182298,0.0003529385,,,,,
0.6290040146,0.642691871,1.25751759598195E-05,0.3019500152,0.3130036346,1.25751759007225E-05,,,,,
0.7036391292,0.698110607,0.029952474,0.3857603083,0.3808981309,0.0031246801,,,,,
0.7149400503,0.6783714135,0.0021876624,0.3848489392,0.3512745903,0.0021876624,,,,,
0.7775212497,0.7730651744,1.05236630536845E-05,0.4558097234,0.4508058535,1.0523662915404E-05,,,,,
0.7069978494,0.7045999831,3.21040407572089E-08,0.3763164243,0.3725588374,3.21040348382167E-08,,,,,
0.6947740378,0.7305674215,2.30586350560537E-08,0.3641423008,0.402877171,2.30586350554321E-08,,,,,
0.7621771766,0.7308544197,0.0717801084,0.440240582,0.4041770623,0.0048557589,,,,,
0.5942712385,0.5994734135,0.0244541027,0.2729499613,0.2732755237,0.0009996945,,,,,
0.6320241825,0.6290495173,0.0543366802,0.3157557572,0.3131828305,0.0043841377,,,,,
0.579323996,0.6014757222,1.70226730612285E-05,0.2544385722,0.2724471425,1.70226730353518E-05,,,,,
0.7042933641,0.722056621,0.0148134798,0.3967867914,0.4196663387,0.0148134798,,,,,
