trustname,dt,length_of_stay_type,n
NATIONAL,2020-03-10,New ICU Admission,11
NATIONAL,2020-03-11,New ICU Admission,8
NATIONAL,2020-03-11,Admitted ICU 1-7 Days Ago,11
NATIONAL,2020-03-12,New ICU Admission,6
NATIONAL,2020-03-12,Admitted ICU 1-7 Days Ago,19
NATIONAL,2020-03-13,New ICU Admission,10
NATIONAL,2020-03-13,Admitted ICU 1-7 Days Ago,22
NATIONAL,2020-03-14,New ICU Admission,13
NATIONAL,2020-03-14,Admitted ICU 1-7 Days Ago,32
NATIONAL,2020-03-15,New ICU Admission,20
NATIONAL,2020-03-15,Admitted ICU 1-7 Days Ago,43
NATIONAL,2020-03-16,New ICU Admission,29
NATIONAL,2020-03-16,Admitted ICU 1-7 Days Ago,63
NATIONAL,2020-03-17,New ICU Admission,24
NATIONAL,2020-03-17,Admitted ICU 1-7 Days Ago,87
NATIONAL,2020-03-18,New ICU Admission,37
NATIONAL,2020-03-18,Admitted ICU 1-7 Days Ago,99
NATIONAL,2020-03-18,Admitted ICU 8-14 Days Ago,9
NATIONAL,2020-03-19,New ICU Admission,37
NATIONAL,2020-03-19,Admitted ICU 1-7 Days Ago,124
NATIONAL,2020-03-19,Admitted ICU 8-14 Days Ago,16
NATIONAL,2020-03-20,New ICU Admission,47
NATIONAL,2020-03-20,Admitted ICU 1-7 Days Ago,157
NATIONAL,2020-03-20,Admitted ICU 8-14 Days Ago,19
NATIONAL,2020-03-21,New ICU Admission,47
NATIONAL,2020-03-21,Admitted ICU 1-7 Days Ago,193
NATIONAL,2020-03-21,Admitted ICU 8-14 Days Ago,27
NATIONAL,2020-03-22,New ICU Admission,53
NATIONAL,2020-03-22,Admitted ICU 1-7 Days Ago,229
NATIONAL,2020-03-22,Admitted ICU 8-14 Days Ago,35
NATIONAL,2020-03-23,New ICU Admission,58
NATIONAL,2020-03-23,Admitted ICU 1-7 Days Ago,261
NATIONAL,2020-03-23,Admitted ICU 8-14 Days Ago,49
NATIONAL,2020-03-24,New ICU Admission,58
NATIONAL,2020-03-24,Admitted ICU 1-7 Days Ago,287
NATIONAL,2020-03-24,Admitted ICU 8-14 Days Ago,70
NATIONAL,2020-03-25,New ICU Admission,73
NATIONAL,2020-03-25,Admitted ICU 1-7 Days Ago,315
NATIONAL,2020-03-25,Admitted ICU 8-14 Days Ago,82
NATIONAL,2020-03-25,Admitted ICU >14 Days Ago,7
NATIONAL,2020-03-26,New ICU Admission,69
NATIONAL,2020-03-26,Admitted ICU 1-7 Days Ago,346
NATIONAL,2020-03-26,Admitted ICU 8-14 Days Ago,106
NATIONAL,2020-03-26,Admitted ICU >14 Days Ago,13
NATIONAL,2020-03-27,New ICU Admission,93
NATIONAL,2020-03-27,Admitted ICU 1-7 Days Ago,376
NATIONAL,2020-03-27,Admitted ICU 8-14 Days Ago,135
NATIONAL,2020-03-27,Admitted ICU >14 Days Ago,16
NATIONAL,2020-03-28,New ICU Admission,92
NATIONAL,2020-03-28,Admitted ICU 1-7 Days Ago,414
NATIONAL,2020-03-28,Admitted ICU 8-14 Days Ago,170
NATIONAL,2020-03-28,Admitted ICU >14 Days Ago,20
NATIONAL,2020-03-29,New ICU Admission,91
NATIONAL,2020-03-29,Admitted ICU 1-7 Days Ago,460
NATIONAL,2020-03-29,Admitted ICU 8-14 Days Ago,198
NATIONAL,2020-03-29,Admitted ICU >14 Days Ago,28
NATIONAL,2020-03-30,New ICU Admission,97
NATIONAL,2020-03-30,Admitted ICU 1-7 Days Ago,494
NATIONAL,2020-03-30,Admitted ICU 8-14 Days Ago,228
NATIONAL,2020-03-30,Admitted ICU >14 Days Ago,45
NATIONAL,2020-03-31,New ICU Admission,76
NATIONAL,2020-03-31,Admitted ICU 1-7 Days Ago,534
NATIONAL,2020-03-31,Admitted ICU 8-14 Days Ago,253
NATIONAL,2020-03-31,Admitted ICU >14 Days Ago,66
